feature,nan_pct,zero_pct,std,unique,corr,importance,sd
height_diff,0.0,17.27413035735486,10.018063837307858,74,0.042760855047496535,0.0011704462326262322,0.0009922940721470929
is_heavyweight,0.0,91.65380505758044,0.27659561693365525,2,0.03360507395499332,0.0008778346744696686,0.0011704462326262155
base_prob,0.0,0.0,0.015257221647799902,7898,0.02829569330814806,0.0007315288953914312,0.0029261155815654915
archetype_matchup,0.0,38.44236020420278,0.02920417214754239,9,0.04709650448754673,0.000731528895391409,0.001034538085130277
mmr_diff,0.0,5.8055324706161695,7.334127953917996,7899,0.028327494597114596,0.000731528895391409,0.00046265949673278075
finish_rate_diff,0.0,26.41576635403063,0.4842094448722186,946,0.01930228821167372,0.0005852231163131272,0.0005474260990159694
ape_index_diff,0.0,4.155289089398076,0.1879769315057887,3542,0.2086510840005621,0.0005852231163131272,0.0012585699000793955
opp_quality_diff,0.0,6.482250979461,629.0199638832742,7686,-0.013735986319052835,0.0004389173372348898,0.0009922940721470797
reach_diff,0.0,12.608334322687877,33.96189524114857,103,0.21887185067630274,0.0004389173372348454,0.0003583745051621529
str_acc_L3_diff,0.0,8.749851596818235,20.81506941214169,188,0.07519300650039978,0.0002926115581565858,0.0024742552341313266
mu_diff,0.0,6.090466579603467,4.47125861286417,7737,0.10246156248102832,0.00014630577907832621,0.0016936118365457392
skill_conservative_diff,0.0,5.8055324706161695,5.095496343109549,7899,0.07353040683797618,0.000146305779078304,0.0008531019597432833
is_5rnd,0.0,90.94146978511219,0.28703551463394533,2,0.010342907220715418,0.000146305779078304,0.0009704827477265427
sub_rate_diff,0.0,46.50362103763504,0.3652046588311084,584,0.01110638985653593,2.2204460492503132e-17,0.0008013497549453827
same_cluster,0.0,100.0,0.0,1,0.0,0.0,0.0
age_diff,0.0,6.422889706755313,5.05013926550149,5987,-0.18111295770211994,-0.0001463057790782152,0.001984588144294155
archetype_clash,0.0,35.98480351418735,0.4799841441274363,2,0.017653092397622167,-0.00029261155815649695,0.0005852231163130773
stance_mismatch,0.0,69.13213819304286,0.461975612728648,2,0.006714420708880068,-0.00043891733723477877,0.0003583745051620986
stance_interaction,0.0,69.13213819304286,0.5555628554138624,3,0.027972079410130118,-0.00043891733723477877,0.0003583745051620986
southpaw_diff,0.0,69.13213819304286,0.5555628554138624,3,0.027972079410130118,-0.0005852231163130384,0.0010751235154864167
sub_def_diff,0.0,30.04867624361866,0.36036439986039653,343,0.004509647561609283,-0.0007315288953913202,0.002737130495079687
combined_uncertainty,0.0,0.0,2.050501871306897,7880,0.08579704909841267,-0.0008778346744695798,0.0023317304243612538
off_striking_diff,0.0,0.2730618544461593,1.6629793432699718,2173,0.20693442442002935,-0.0011704462326261656,0.00611341109459435
splm_L3_diff,0.0,5.947999525109818,2.0708165860527354,2238,0.11913834808448247,-0.0013167520117044029,0.005222112157300553
td_avg_L3_diff,0.0,8.23934465154933,1.702003922219774,2060,0.09635375055664147,-0.0014630577907826848,0.0010345380851302613
cardio_diff,0.0,32.48248842455182,0.42043198382549635,4204,-0.02587967960126268,-0.0016093635698609444,0.00156211825194311
absorption_eff_diff,0.0,0.0949780363290989,19.5465429656975,8306,0.08943769340508788,-0.001755669348939226,0.0012754642117163565
wc_move_diff,0.0,87.48664371364121,0.36219427265825405,5,0.0004935298296560755,-0.001755669348939226,0.0003583745051620986
ring_rust_diff,0.0,31.17654042502671,0.1265001786789999,1459,0.065144293155828,-0.0019019751280174857,0.0028744524805250317
data_sparsity_diff,0.0,21.180102101389053,0.8860394753801404,261,-0.03525046601769427,-0.0019019751280175078,0.002386175044667153
ko_rate_diff,0.0,34.80945031461474,0.421111225193182,812,0.012562583528638423,-0.0020482809070957895,0.0014184871565226954
high_pace,0.0,61.474534014009265,0.4866843204085057,2,-0.08942623795732761,-0.0023408924652523087,0.001693611836545741
bayesian_prob,0.0,0.0,0.16209580650282807,7868,0.09891068268425439,-0.002487198244330591,0.001885018101934911
accuracy_trajectory_diff,0.0,96.97257509200998,1.3078285848494577,52,-0.03015390489267557,-0.002487198244330591,0.0029479797629275374
career_damage_diff,0.0,0.1899560726581978,1.0294131528077697,8366,-0.1161164142043932,-0.002487198244330591,0.002099882969189065
recent_form_diff,0.0,31.50896355217856,0.3605858693970932,37,0.11130864882024366,-0.0026335040234088725,0.002559305879229813
prime_wc_diff,0.0,25.002968063635283,0.2045893769046226,5645,0.10577406367201597,-0.004681784930504707,0.0025593058792298144
